"ELM"	"GOTerm ID"	"GOTerm Title"
"DEG_Kelch_Keap1_2"	"GO:0019904"	"protein domain specific binding"
"DEG_Kelch_Keap1_2"	"GO:0019901"	"protein kinase binding"
"DEG_Kelch_Keap1_2"	"GO:0031396"	"regulation of protein ubiquitination"
"DEG_Kelch_Keap1_2"	"GO:0006511"	"ubiquitin-dependent protein catabolism"
"DEG_Kelch_Keap1_2"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_Kelch_actinfilin_1"	"GO:0031463"	"Cul3-RING ubiquitin ligase complex"
"DEG_Kelch_actinfilin_1"	"GO:0005829"	"cytosol"
"DEG_Kelch_actinfilin_1"	"GO:0008328"	"ionotropic glutamate receptor complex"
"DEG_Kelch_actinfilin_1"	"GO:0045211"	"postsynaptic membrane"
"DEG_Kelch_actinfilin_1"	"GO:0043161"	"proteasomal ubiquitin-dependent protein catabolic process"
"DEG_Kelch_actinfilin_1"	"GO:0019904"	"protein domain specific binding"
"DEG_Kelch_actinfilin_1"	"GO:0043113"	"receptor clustering"
"DEG_Kelch_actinfilin_1"	"GO:0031396"	"regulation of protein ubiquitination"
"DEG_Kelch_actinfilin_1"	"GO:0007268"	"synaptic transmission"
"DEG_Kelch_actinfilin_1"	"GO:0006511"	"ubiquitin-dependent protein catabolism"
"DEG_MDM2_SWIB_1"	"GO:0006915"	"apoptosis"
"DEG_MDM2_SWIB_1"	"GO:0007569"	"cell aging"
"DEG_MDM2_SWIB_1"	"GO:0007050"	"cell cycle arrest"
"DEG_MDM2_SWIB_1"	"GO:0008283"	"cell proliferation"
"DEG_MDM2_SWIB_1"	"GO:0005829"	"cytosol"
"DEG_MDM2_SWIB_1"	"GO:0006281"	"DNA repair"
"DEG_MDM2_SWIB_1"	"GO:0097371"	"MDM2/MDM4 family protein binding"
"DEG_MDM2_SWIB_1"	"GO:0005634"	"nucleus"
"DEG_MDM2_SWIB_1"	"GO:0000211"	"protein degradation tagging activity"
"DEG_MDM2_SWIB_1"	"GO:0061630"	"ubiquitin protein ligase activity"
"DEG_Nend_Nbox_1"	"GO:0005829"	"cytosol"
"DEG_Nend_Nbox_1"	"GO:0000209"	"protein polyubiquitination"
"DEG_Nend_Nbox_1"	"GO:0071596"	"ubiquitin-dependent protein catabolic process via the N-end rule pathway"
"DEG_Nend_Nbox_1"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_Nend_UBRbox_1"	"GO:0005829"	"cytosol"
"DEG_Nend_UBRbox_1"	"GO:0000209"	"protein polyubiquitination"
"DEG_Nend_UBRbox_1"	"GO:0071596"	"ubiquitin-dependent protein catabolic process via the N-end rule pathway"
"DEG_Nend_UBRbox_1"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_Nend_UBRbox_2"	"GO:0005829"	"cytosol"
"DEG_Nend_UBRbox_2"	"GO:0000209"	"protein polyubiquitination"
"DEG_Nend_UBRbox_2"	"GO:0071596"	"ubiquitin-dependent protein catabolic process via the N-end rule pathway"
"DEG_Nend_UBRbox_2"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_Nend_UBRbox_3"	"GO:0005829"	"cytosol"
"DEG_Nend_UBRbox_3"	"GO:0000209"	"protein polyubiquitination"
"DEG_Nend_UBRbox_3"	"GO:0071596"	"ubiquitin-dependent protein catabolic process via the N-end rule pathway"
"DEG_Nend_UBRbox_3"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_Nend_UBRbox_4"	"GO:0005829"	"cytosol"
"DEG_Nend_UBRbox_4"	"GO:0000209"	"protein polyubiquitination"
"DEG_Nend_UBRbox_4"	"GO:0071596"	"ubiquitin-dependent protein catabolic process via the N-end rule pathway"
"DEG_Nend_UBRbox_4"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_ODPH_VHL_1"	"GO:0005829"	"cytosol"
"DEG_ODPH_VHL_1"	"GO:0005634"	"nucleus"
"DEG_ODPH_VHL_1"	"GO:0005515"	"protein binding"
"DEG_ODPH_VHL_1"	"GO:0006355"	"Regulation of transcription, DNA-dependent"
"DEG_ODPH_VHL_1"	"GO:0001666"	"Response to hypoxia"
"DEG_ODPH_VHL_1"	"GO:0004871"	"signal transducer"
"DEG_ODPH_VHL_1"	"GO:0007165"	"signal transduction"
"DEG_SCF_COI1_1"	"GO:0009867"	"jasmonic acid mediated signaling pathway"
"DEG_SCF_COI1_1"	"GO:0005634"	"nucleus"
"DEG_SCF_COI1_1"	"GO:0005515"	"protein binding"
"DEG_SCF_COI1_1"	"GO:0031396"	"regulation of protein ubiquitination"
"DEG_SCF_COI1_1"	"GO:0019005"	"SCF ubiquitin ligase complex"
"DEG_SCF_COI1_1"	"GO:0006511"	"ubiquitin-dependent protein catabolism"
"DEG_SCF_COI1_1"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_SCF_FBW7_1"	"GO:0005829"	"cytosol"
"DEG_SCF_FBW7_1"	"GO:0005634"	"nucleus"
"DEG_SCF_FBW7_1"	"GO:0005515"	"protein binding"
"DEG_SCF_FBW7_1"	"GO:0031396"	"regulation of protein ubiquitination"
"DEG_SCF_FBW7_1"	"GO:0004840"	"ubiquitin conjugating enzyme activity"
"DEG_SCF_FBW7_1"	"GO:0006511"	"ubiquitin-dependent protein catabolism"
"DEG_SCF_FBW7_1"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_SCF_FBW7_2"	"GO:0005829"	"cytosol"
"DEG_SCF_FBW7_2"	"GO:0005634"	"nucleus"
"DEG_SCF_FBW7_2"	"GO:0005515"	"protein binding"
"DEG_SCF_FBW7_2"	"GO:0031396"	"regulation of protein ubiquitination"
"DEG_SCF_FBW7_2"	"GO:0004840"	"ubiquitin conjugating enzyme activity"
"DEG_SCF_FBW7_2"	"GO:0006511"	"ubiquitin-dependent protein catabolism"
"DEG_SCF_FBW7_2"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_SCF_SKP2-CKS1_1"	"GO:0005829"	"cytosol"
"DEG_SCF_SKP2-CKS1_1"	"GO:0031575"	"mitotic cell cycle G1/S transition checkpoint"
"DEG_SCF_SKP2-CKS1_1"	"GO:0005634"	"nucleus"
"DEG_SCF_SKP2-CKS1_1"	"GO:0005515"	"protein binding"
"DEG_SCF_SKP2-CKS1_1"	"GO:0000209"	"protein polyubiquitination"
"DEG_SCF_SKP2-CKS1_1"	"GO:0019005"	"SCF ubiquitin ligase complex"
"DEG_SCF_SKP2-CKS1_1"	"GO:0006511"	"ubiquitin-dependent protein catabolism"
"DEG_SCF_SKP2-CKS1_1"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_SCF_TIR1_1"	"GO:0009734"	"auxin mediated signaling pathway"
"DEG_SCF_TIR1_1"	"GO:0005634"	"nucleus"
"DEG_SCF_TIR1_1"	"GO:0005515"	"protein binding"
"DEG_SCF_TIR1_1"	"GO:0031396"	"regulation of protein ubiquitination"
"DEG_SCF_TIR1_1"	"GO:0019005"	"SCF ubiquitin ligase complex"
"DEG_SCF_TIR1_1"	"GO:0006511"	"ubiquitin-dependent protein catabolism"
"DEG_SCF_TIR1_1"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_SCF_TRCP1_1"	"GO:0051301"	"Cell Division"
"DEG_SCF_TRCP1_1"	"GO:0005694"	"Chromosome"
"DEG_SCF_TRCP1_1"	"GO:0005829"	"cytosol"
"DEG_SCF_TRCP1_1"	"GO:0006281"	"DNA repair"
"DEG_SCF_TRCP1_1"	"GO:0007094"	"mitotic spindle checkpoint"
"DEG_SCF_TRCP1_1"	"GO:0005654"	"nucleoplasm"
"DEG_SCF_TRCP1_1"	"GO:0005634"	"nucleus"
"DEG_SCF_TRCP1_1"	"GO:0005515"	"protein binding"
"DEG_SCF_TRCP1_1"	"GO:0007346"	"Regulation of Mitotic Cell Cycle"
"DEG_SCF_TRCP1_1"	"GO:0031396"	"regulation of protein ubiquitination"
"DEG_SCF_TRCP1_1"	"GO:0004840"	"ubiquitin conjugating enzyme activity"
"DEG_SCF_TRCP1_1"	"GO:0006511"	"ubiquitin-dependent protein catabolism"
"DEG_SCF_TRCP1_1"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_SIAH_1"	"GO:0005829"	"cytosol"
"DEG_SIAH_1"	"GO:0005634"	"nucleus"
"DEG_SIAH_1"	"GO:0005515"	"protein binding"
"DEG_SIAH_1"	"GO:0031396"	"regulation of protein ubiquitination"
"DEG_SIAH_1"	"GO:0007264"	"small GTPase mediated signal transduction"
"DEG_SIAH_1"	"GO:0004840"	"ubiquitin conjugating enzyme activity"
"DEG_SIAH_1"	"GO:0006511"	"ubiquitin-dependent protein catabolism"
"DEG_SIAH_1"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_SPOP_SBC_1"	"GO:0031463"	"Cul3-RING ubiquitin ligase complex"
"DEG_SPOP_SBC_1"	"GO:0016874"	"ligase activity"
"DEG_SPOP_SBC_1"	"GO:0016607"	"nuclear speck"
"DEG_SPOP_SBC_1"	"GO:0005634"	"nucleus"
"DEG_SPOP_SBC_1"	"GO:0016567"	"protein ubiquitination"
"DEG_SPOP_SBC_1"	"GO:0031625"	"ubiquitin protein ligase binding"
"DOC_AGCK_PIF_1"	"GO:0004676"	"3-phosphoinositide-dependent protein kinase activity"
"DOC_AGCK_PIF_1"	"GO:0005829"	"cytosol"
"DOC_AGCK_PIF_1"	"GO:0009898"	"internal side of plasma membrane"
"DOC_AGCK_PIF_1"	"GO:0006468"	"protein amino acid phosphorylation"
"DOC_AGCK_PIF_1"	"GO:0005515"	"protein binding"
"DOC_AGCK_PIF_1"	"GO:0004674"	"protein serine/threonine kinase"
"DOC_AGCK_PIF_1"	"GO:0007165"	"signal transduction"
"DOC_AGCK_PIF_2"	"GO:0004676"	"3-phosphoinositide-dependent protein kinase activity"
"DOC_AGCK_PIF_2"	"GO:0005829"	"cytosol"
"DOC_AGCK_PIF_2"	"GO:0009898"	"internal side of plasma membrane"
"DOC_AGCK_PIF_2"	"GO:0006468"	"protein amino acid phosphorylation"
"DOC_AGCK_PIF_2"	"GO:0005515"	"protein binding"
"DOC_AGCK_PIF_2"	"GO:0004674"	"protein serine/threonine kinase"
"DOC_AGCK_PIF_2"	"GO:0007165"	"signal transduction"
"DOC_AGCK_PIF_3"	"GO:0004676"	"3-phosphoinositide-dependent protein kinase activity"
"DOC_AGCK_PIF_3"	"GO:0005829"	"cytosol"
"DOC_AGCK_PIF_3"	"GO:0009898"	"internal side of plasma membrane"
"DOC_AGCK_PIF_3"	"GO:0006468"	"protein amino acid phosphorylation"
"DOC_AGCK_PIF_3"	"GO:0005515"	"protein binding"
"DOC_AGCK_PIF_3"	"GO:0004674"	"protein serine/threonine kinase"
"DOC_AGCK_PIF_3"	"GO:0007165"	"signal transduction"
"DOC_ANK_TNKS_1"	"GO:0001309"	"age-dependent telomere shortening"
"DOC_ANK_TNKS_1"	"GO:0071532"	"ankyrin repeat binding"
"DOC_ANK_TNKS_1"	"GO:0030877"	"beta-catenin destruction complex"
"DOC_ANK_TNKS_1"	"GO:0000781"	"Chromosome, telomeric region"
"DOC_ANK_TNKS_1"	"GO:0005829"	"cytosol"
"DOC_ANK_TNKS_1"	"GO:0035145"	"exon-exon junction complex"
"DOC_ANK_TNKS_1"	"GO:0005634"	"nucleus"
"DOC_ANK_TNKS_1"	"GO:2000060"	"positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process"
"DOC_ANK_TNKS_1"	"GO:0005515"	"protein binding"
"DOC_ANK_TNKS_1"	"GO:0070212"	"protein poly-ADP-ribosylation"
"DOC_ANK_TNKS_1"	"GO:0006275"	"regulation of DNA replication"
"DOC_ANK_TNKS_1"	"GO:0000922"	"spindle pole"
"DOC_CKS1_1"	"GO:0007049"	"cell cycle"
"DOC_CKS1_1"	"GO:0016538"	"cyclin-dependent protein serine/threonine kinase regulator activity"
"DOC_CKS1_1"	"GO:0005829"	"cytosol"
"DOC_CKS1_1"	"GO:0005634"	"nucleus"
"DOC_CKS1_1"	"GO:0005515"	"protein binding"
"DOC_CKS1_1"	"GO:0000079"	"regulation of CDK activity"
"DOC_CYCLIN_1"	"GO:0007049"	"cell cycle"
"DOC_CYCLIN_1"	"GO:0030332"	"cyclin binding activity"
"DOC_CYCLIN_1"	"GO:0005829"	"cytosol"
"DOC_CYCLIN_1"	"GO:0005634"	"nucleus"
"DOC_CYCLIN_1"	"GO:0030528"	"transcription regulator"
"DOC_GSK3_Axin_1"	"GO:0032147"	"activation of protein kinase activity"
"DOC_GSK3_Axin_1"	"GO:0008013"	"beta-catenin binding"
"DOC_GSK3_Axin_1"	"GO:0030877"	"beta-catenin destruction complex"
"DOC_GSK3_Axin_1"	"GO:0060823"	"canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation"
"DOC_GSK3_Axin_1"	"GO:0005829"	"cytosol"
"DOC_GSK3_Axin_1"	"GO:0001701"	"in utero embryonic development"
"DOC_GSK3_Axin_1"	"GO:0005886"	"plasma membrane"
"DOC_GSK3_Axin_1"	"GO:2000060"	"positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process"
"DOC_GSK3_Axin_1"	"GO:0032947"	"protein complex scaffold"
"DOC_GSK3_Axin_1"	"GO:0019901"	"protein kinase binding"
"DOC_GSK3_Axin_1"	"GO:0060828"	"regulation of canonical Wnt signaling pathway"
"DOC_GSK3_Axin_1"	"GO:0035412"	"regulation of catenin import into nucleus"
"DOC_GSK3_Axin_1"	"GO:0004871"	"signal transducer"
"DOC_GSK3_Axin_1"	"GO:0090244"	"Wnt signaling pathway involved in somitogenesis"
"DOC_MAPK_DCC_7"	"GO:0008283"	"cell proliferation"
"DOC_MAPK_DCC_7"	"GO:0005829"	"cytosol"
"DOC_MAPK_DCC_7"	"GO:0035556"	"intracellular signal transduction"
"DOC_MAPK_DCC_7"	"GO:0000165"	"MAPKKK cascade"
"DOC_MAPK_DCC_7"	"GO:0005634"	"nucleus"
"DOC_MAPK_DCC_7"	"GO:0006468"	"protein amino acid phosphorylation"
"DOC_MAPK_DCC_7"	"GO:0005515"	"protein binding"
"DOC_MAPK_DCC_7"	"GO:0019901"	"protein kinase binding"
"DOC_MAPK_DCC_7"	"GO:0004674"	"protein serine/threonine kinase"
"DOC_MAPK_DCC_7"	"GO:0006355"	"Regulation of transcription, DNA-dependent"
"DOC_MAPK_DCC_7"	"GO:0005667"	"Transcription factor complex"
"DOC_MAPK_FxFP_2"	"GO:0005829"	"cytosol"
"DOC_MAPK_FxFP_2"	"GO:0000165"	"MAPKKK cascade"
"DOC_MAPK_FxFP_2"	"GO:0051019"	"mitogen-activated protein kinase binding"
"DOC_MAPK_FxFP_2"	"GO:0048273"	"mitogen-activated protein kinase p38 binding"
"DOC_MAPK_FxFP_2"	"GO:0005634"	"nucleus"
"DOC_MAPK_FxFP_2"	"GO:0007243"	"protein kinase cascade"
"DOC_MAPK_HePTP_8"	"GO:0008283"	"cell proliferation"
"DOC_MAPK_HePTP_8"	"GO:0005829"	"cytosol"
"DOC_MAPK_HePTP_8"	"GO:0035556"	"intracellular signal transduction"
"DOC_MAPK_HePTP_8"	"GO:0000165"	"MAPKKK cascade"
"DOC_MAPK_HePTP_8"	"GO:0016020"	"membrane"
"DOC_MAPK_HePTP_8"	"GO:0005634"	"nucleus"
"DOC_MAPK_HePTP_8"	"GO:0035335"	"peptidyl-tyrosine dephosphorylation"
"DOC_MAPK_HePTP_8"	"GO:0006468"	"protein amino acid phosphorylation"
"DOC_MAPK_HePTP_8"	"GO:0005515"	"protein binding"
"DOC_MAPK_HePTP_8"	"GO:0016485"	"protein processing"
"DOC_MAPK_HePTP_8"	"GO:0004674"	"protein serine/threonine kinase"
"DOC_MAPK_HePTP_8"	"GO:0006355"	"Regulation of transcription, DNA-dependent"
"DOC_MAPK_JIP1_4"	"GO:0007257"	"activation of JUN kinase activity"
"DOC_MAPK_JIP1_4"	"GO:0006915"	"apoptosis"
"DOC_MAPK_JIP1_4"	"GO:0030424"	"axon"
"DOC_MAPK_JIP1_4"	"GO:0007010"	"cytoskeleton organization"
"DOC_MAPK_JIP1_4"	"GO:0005829"	"cytosol"
"DOC_MAPK_JIP1_4"	"GO:0008286"	"insulin receptor signaling pathway"
"DOC_MAPK_JIP1_4"	"GO:0035556"	"intracellular signal transduction"
"DOC_MAPK_JIP1_4"	"GO:0007254"	"JNK cascade"
"DOC_MAPK_JIP1_4"	"GO:0004706"	"JUN kinase kinase kinase activity"
"DOC_MAPK_JIP1_4"	"GO:0016301"	"kinase activity"
"DOC_MAPK_JIP1_4"	"GO:0005078"	"MAP-kinase scaffold activity"
"DOC_MAPK_JIP1_4"	"GO:0031435"	"mitogen-activated protein kinase kinase kinase binding"
"DOC_MAPK_JIP1_4"	"GO:0007399"	"nervous system development"
"DOC_MAPK_JIP1_4"	"GO:0043005"	"neuron projection"
"DOC_MAPK_JIP1_4"	"GO:0005634"	"nucleus"
"DOC_MAPK_JIP1_4"	"GO:0006468"	"protein amino acid phosphorylation"
"DOC_MAPK_JIP1_4"	"GO:0005515"	"protein binding"
"DOC_MAPK_JIP1_4"	"GO:0043234"	"protein complex"
"DOC_MAPK_JIP1_4"	"GO:0032947"	"protein complex scaffold"
"DOC_MAPK_JIP1_4"	"GO:0043506"	"regulation of JUN kinase activity"
